SectorName,SectorName_labelled,MajorsubgroupOccupation_labelled,outsourcing_status,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc
18,"Professional, Scientific And Technical Activities",Administrative Occupations,Not outsourced,40,34.577675666049245,510.4044385359116,488.31482469519625,45,39.735453938334906,87.0197071857038
18,"Professional, Scientific And Technical Activities",Administrative Occupations,Outsourced,5,5.157778272285658,465.24399631675874,509.7171466245959,45,39.735453938334906,12.98029281429619
18,"Professional, Scientific And Technical Activities",Business And Public Service Associate Professionals,Not outsourced,30,24.53594644956809,808.0631778187027,824.0744010765757,42,34.19834133198668,71.74601309280143
18,"Professional, Scientific And Technical Activities",Business And Public Service Associate Professionals,Outsourced,12,9.662394882418592,751.76831389400445,744.1979653663915,42,34.19834133198668,28.253986907198563
18,"Professional, Scientific And Technical Activities","Business, Media And Public Service Professionals",Not outsourced,76,66.20037025040537,772.730125440212,776.8771474177095,88,77.493450411386,85.4270520914612
18,"Professional, Scientific And Technical Activities","Business, Media And Public Service Professionals",Outsourced,12,11.29308016098063,646.6318804992837,706.3937919909695,88,77.493450411386,14.572947908538803
18,"Professional, Scientific And Technical Activities",Caring Personal Service Occupations,Not outsourced,2,1.5919255184490015,455.49953959484344,456.0318494023472,2,1.5919255184490015,100
18,"Professional, Scientific And Technical Activities",Corporate Managers And Directors,Not outsourced,28,24.04469446246091,948.0479917565552,972.8534722381688,36,33.09145102978411,72.6613482159467
18,"Professional, Scientific And Technical Activities",Corporate Managers And Directors,Outsourced,8,9.046756567323204,963.1230816451811,970.5159164795244,36,33.09145102978411,27.33865178405332
18,"Professional, Scientific And Technical Activities","Culture, Media And Sports Occupations",Not outsourced,3,1.9491726565080516,834.2991610394924,845.8008837794383,4,2.73148841599211,71.35936016042332
18,"Professional, Scientific And Technical Activities","Culture, Media And Sports Occupations",Outsourced,1,0.7823157594840583,661.7664211172498,661.7664211172497,4,2.73148841599211,28.640639839576682
18,"Professional, Scientific And Technical Activities",Customer Service Occupations,Not outsourced,2,1.588698318410874,517.8023327194597,509.937947806672,2,1.588698318410874,100
18,"Professional, Scientific And Technical Activities",Elementary Administration And Service Occupations,Not outsourced,2,2.4010648556808407,209.4843462246777,218.03955290375166,3,3.814056180797153,62.953054225305316
18,"Professional, Scientific And Technical Activities",Elementary Administration And Service Occupations,Outsourced,1,1.4129913251163122,257.82688766114177,257.82688766114177,3,3.814056180797153,37.04694577469468
18,"Professional, Scientific And Technical Activities",Elementary Trades And Related Occupations,Not outsourced,1,0.7432490734827928,580.110497237569,580.110497237569,1,0.7432490734827928,100
18,"Professional, Scientific And Technical Activities",Health And Social Care Associate Professionals,Not outsourced,4,3.4954196075542807,497.58364027010435,493.57257533147947,5,4.609068308548319,75.83787814711744
18,"Professional, Scientific And Technical Activities",Health And Social Care Associate Professionals,Outsourced,1,1.1136487009940381,319,319,5,4.609068308548319,24.162121852882564
18,"Professional, Scientific And Technical Activities",Health Professionals,Not outsourced,5,4.1163986943892725,823.4696132596684,818.8468804312582,6,4.900993160502012,83.9911128128901
18,"Professional, Scientific And Technical Activities",Health Professionals,Outsourced,1,0.7845944661127395,350,350.00000000000006,6,4.900993160502012,16.008887187109906
18,"Professional, Scientific And Technical Activities",NA,Not outsourced,3,5.156930166541211,429.7114794352363,385.89899804497094,3,5.156930166541211,100
18,"Professional, Scientific And Technical Activities",Other Managers And Proprietors,Not outsourced,5,4.369152618774357,813.4459791282995,824.4833286654749,6,5.12820743963114,85.19843766477238
18,"Professional, Scientific And Technical Activities",Other Managers And Proprietors,Outsourced,1,0.7590548208567837,412.5230202578269,412.52302025782694,6,5.12820743963114,14.801562335227622
18,"Professional, Scientific And Technical Activities","Process, Plant And Machine Operatives",Outsourced,1,1.3691456239847926,666.6114180478821,666.6114180478821,1,1.3691456239847926,100
18,"Professional, Scientific And Technical Activities",Protective Service Occupations,Not outsourced,1,0.5812307452460568,902.3941068139962,902.3941068139964,1,0.5812307452460568,100
18,"Professional, Scientific And Technical Activities",Sales Occupations,Not outsourced,1,0.720140474476511,661.7664211172498,661.7664211172498,1,0.720140474476511,100
18,"Professional, Scientific And Technical Activities","Science, Engineering And Technology Associate Professionals",Not outsourced,2,1.287418153427284,690.2240638428484,696.6305608977987,7,7.406753410082341,17.38167969349167
18,"Professional, Scientific And Technical Activities","Science, Engineering And Technology Associate Professionals",Outsourced,5,6.119335256655057,520.12277470841,386.47784009399186,7,7.406753410082341,82.61832030650834
18,"Professional, Scientific And Technical Activities","Science, Research, Engineering And Technology Professionals",Not outsourced,50,42.059086301708795,785.948423572744,771.4768928601594,60,51.88556424823008,81.06124875213922
18,"Professional, Scientific And Technical Activities","Science, Research, Engineering And Technology Professionals",Outsourced,10,9.826477946521285,977.1639042357274,955.907081931532,60,51.88556424823008,18.938751247860786
18,"Professional, Scientific And Technical Activities",Secretarial And Related Occupations,Not outsourced,20,20.99799092580878,528.3114579496623,477.38094098867225,25,26.840457840778353,78.2326108234518
18,"Professional, Scientific And Technical Activities",Secretarial And Related Occupations,Outsourced,5,5.842466914969575,649.7280540208717,660.6241575031352,25,26.840457840778353,21.767389176548217
18,"Professional, Scientific And Technical Activities","Skilled Metal, Electrical And Electronic Trades",Not outsourced,2,1.3568795759809094,880.9085328422344,848.7985726098182,4,2.7999073710592888,48.46158805130618
18,"Professional, Scientific And Technical Activities","Skilled Metal, Electrical And Electronic Trades",Outsourced,2,1.4430277950783794,755.110497237569,772.0607899472858,4,2.7999073710592888,51.53841194869382
