UnitOccupation_labelled,outsourcing_status,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc
Sales Assistants And Retail Cashiers,Not outsourced,496,565.5014239480058,328.5372148272738,323.62225147747074,595,666.1606103975622,84.88965200306825
Sales Assistants And Retail Cashiers,Outsourced,99,100.65918644955643,411.46698640797166,419.8254232060002,595,666.1606103975622,15.110347996931761
Sales Related Occupations,Not outsourced,16,17.500706196989373,615.3633172191528,579.5966857091754,21,22.46138005137636,77.91465242545054
Sales Related Occupations,Outsourced,5,4.960673854386987,409.1111111111111,438.50842828746306,21,22.46138005137636,22.08534757454947
"Sales, Marketing And Related Associate Professionals",Not outsourced,155,158.18938569374296,683.4233619972672,684.0740861034209,175,173.77671864099239,91.0302524589318
"Sales, Marketing And Related Associate Professionals",Outsourced,20,15.587332947249418,617.1882903621854,614.8719760162215,175,173.77671864099239,8.9697475410682
"Science, Engineering And Production Technicians",Not outsourced,76,84.93716497567137,675.1646272333688,644.4196645731085,87,95.0016506210081,89.40598865435804
"Science, Engineering And Production Technicians",Outsourced,11,10.064485645336728,648.2889670182487,604.9067219938671,87,95.0016506210081,10.594011345641954
Secretarial And Related Occupations,Not outsourced,146,152.3611345049918,480.7271465391828,477.09187666627753,163,172.21802464866326,88.4699117968744
Secretarial And Related Occupations,Outsourced,17,19.856890143671453,466.7671931535045,437.8734976417719,163,172.21802464866326,11.530088203125596
Senior Officers In Protective Services,Not outsourced,25,25.68846175631976,884.6489134438306,854.7680099223406,25,25.68846175631976,100
Shopkeepers And Sales Supervisors,Not outsourced,87,95.70202971211215,482.81407915440684,479.0732428672798,114,122.64264059612275,78.03324296259298
Shopkeepers And Sales Supervisors,Outsourced,27,26.9406108840106,457.07348577859625,432.7520809622831,114,122.64264059612275,21.966757037407024
"Skilled Metal, Electrical And Electronic Trades Supervisors",Not outsourced,13,14.018733714916708,687.3357411342494,673.809785056862,15,14.716357917561686,95.2595322392066
"Skilled Metal, Electrical And Electronic Trades Supervisors",Outsourced,2,0.6976242026449782,623.0816451810927,623.0816451810927,15,14.716357917561686,4.740467760793397
Sports And Fitness Occupations,Not outsourced,19,15.126787475043592,423.8138121546961,385.4072594915629,22,17.937552808190794,84.33027423972948
Sports And Fitness Occupations,Outsourced,3,2.810765333147204,383.77532228360957,328.7419325904335,22,17.937552808190794,15.669725760270536
Teaching And Childcare Associate Professionals,Not outsourced,28,24.863386524766554,356.4144137507673,332.1834053259743,32,28.54863729926248,87.09132510996898
Teaching And Childcare Associate Professionals,Outsourced,4,3.685250774495927,463.01411909146714,468.8442836719655,32,28.54863729926248,12.908674890031024
Teaching And Childcare Support Occupations,Not outsourced,156,146.07031086740758,344.7958055909713,348.25220409796873,184,175.45986276421405,83.24998581795276
