"","Job_Title_TEXT","Main_Activity_TEXT","Employer_Activity_TEXT","Employer_Activity_SIC","INCOME_OPEN_1","INCOME_CLOSED_ANNUAL"
"61","Administrator","Typing","Healthcare","Administrative and Support Service Activities  (provides administrative support or various services to other businesses.",NA,"£44,801 up to £50,400"
"62","analyst","analysis","retail","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir",35000,NA
"63","Customer assistant","Valet","Valet, car parks","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",27000,NA
"64","Manager","Supervise","Public Sector","Public Administration and Defence; Compulsory Social Security  (Government organisation, or civil service, does not incl",39000,NA
"65","It manager","Supervise 1st and 2nd line","Hospital","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",2800,NA
"66","pilot","fly","ambulance","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",56000,NA
"67","Career","Looking after people","Homes","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",NA,NA
"68","Production supervisor","Supervisor staff","Steel cable ties","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra",1890,NA
"69","Secondary school teacher","Teatching","Education","Education  (schools, colleges, or training centres)",NA,NA
"70","Aircraft Handler","Aircraft Maintenance","Defence Contractor","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",23000,NA
"71","Health protection nurse","Public health nurse","Nhs fife","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",NA,NA
"72","Director","Supervisor of staff","Education","Education  (schools, colleges, or training centres)",3500,NA
"73","Manager","HR","HR","Information and Communication  (covers the production and/or distribution of information and cultural products, for exam",5000,NA
"74","Administrative assistant","Check in patients, print documents book appointments","Healthcare","Administrative and Support Service Activities  (provides administrative support or various services to other businesses.",27000,NA
"75","Customer support supervisorv","I support and coach staff to ensure they’re giving the correct advise and analysis of our calls","Finance","Financial and Insurance Activities  (banking, insurance, investment services, or other financial institutions)",2000,NA
"76","Public Liaison Officer","I perform PR functions of Client and Stakeholder engagement/Liaison.","Construction of Roads, bridges and social amenities","Construction  (includes building, renovating, and demolishing structures; including buildings, roads, or similar project",24000,NA
"77","IT","IT manager","It's a construction company","Construction  (includes building, renovating, and demolishing structures; including buildings, roads, or similar project",120000,NA
"78","Researcher","Research","Market research","I’m not sure",NA,NA
"79","Occupational therapist","Provide therapeutic care for clients","Health","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",1200,NA
"80","First line manager","Ensure H&S compliance, train & mentor staff, ensure KPI's are met. carryout disciplinaries and investigations","Tech retail","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir",37984,NA
"81","Welder","Weld and purchase","Metal work","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra",20,NA
"82","Dispatch administrator","Release work for people to pick","Distribution","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",11.25,NA
"83","Support care","Support other ppl","None","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",18000,NA
"84","Dinning host","Hospitality","Hospitality","Accommodation and Food Service Activities  (such as hotels, restaurants, and catering services)",2500,NA
"85","Account manager","Payroll","Truck service","Financial and Insurance Activities  (banking, insurance, investment services, or other financial institutions)",2450,NA
"86","Carer","Care for elderly","Care","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",11,NA
"87","Pension specialist","Pension guidance","Advice","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",24000,NA
"88","waitress","run a pub","sell bear","Accommodation and Food Service Activities  (such as hotels, restaurants, and catering services)",300,NA
"89","Fish monger","Fillet fish","Fish","Agriculture, Forestry, and Fishing  (involves growing crops, raising animals, logging, or commercial fishing)",20,NA
"90","PX LEad","HR management","software","Information and Communication  (covers the production and/or distribution of information and cultural products, for exam",32000,NA
"91","Bms","Healthcare","Healthcare","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",30000,NA
"92","associate strategic consultant","email marketing strategy","software","Information and Communication  (covers the production and/or distribution of information and cultural products, for exam",2060,NA
"93","Site manager","In charge of maintenance","High school","Education  (schools, colleges, or training centres)",NA,"£22,401 up to £28,000"
"94","reach truck driver","organise warehouse","logistics/transportation","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",NA,NA
"95","Health care assistant","Care for patients","General hospital","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",2100,NA
"96","Planner","Plan production","Food","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra",35000,NA
"97","admin","scheduling","cleaning","Administrative and Support Service Activities  (provides administrative support or various services to other businesses.",405,NA
"98","care assistant","care for people","healthcrae","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",NA,NA
"99","Admin assistant","Invoices and payroll","Houses","Construction  (includes building, renovating, and demolishing structures; including buildings, roads, or similar project",NA,"£28,001 up to £33,600"
"100","Semi skilled worker","Working inside a caravan","Caravan manufacturer","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir",520,NA
"101","Clerical Assistant","Health care","Health care","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",42000,NA
"102","Operations","Forklift driver","Food","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",NA,NA
"103","HR manager","plan courses , learn workers","create building and houses","Construction  (includes building, renovating, and demolishing structures; including buildings, roads, or similar project",2750,NA
"104","Surveyor","Surveying","Subsidence surveying","Construction  (includes building, renovating, and demolishing structures; including buildings, roads, or similar project",2600,NA
"105","prison officer","security","security","Public Administration and Defence; Compulsory Social Security  (Government organisation, or civil service, does not incl",2200,NA
"106","Physiotherapist","Charity","Health care","Professional, Scientific, and Technical Activities  (includes services such as legal, accounting, consulting, architectu",NA,NA
"107","Cleaner","Clean","Office","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",10.42,NA
"108","Eletctrical Engineer","Site work","Electrical work","Electricity, Gas, Steam, and Air Conditioning Supply  (involves the production and distribution of electricity, gas, ste",NA,NA
"109","Catering Assistant","Cater","Education","Accommodation and Food Service Activities  (such as hotels, restaurants, and catering services)",400,NA
"110","Manager","Everything","Construction","Construction  (includes building, renovating, and demolishing structures; including buildings, roads, or similar project",3000,NA
"111","Teaching assistant","Education","Primary education","Education  (schools, colleges, or training centres)",NA,"£11,201 up to £16,800"
"112","Office cleaner","Idk","Primary","Activities of extraterritorial organisations and bodies  (organisations such as the International monetary Fund, the Wor",NA,"Over £56,000 a year"
"113","projects manager","consulting","oil and gas","Mining and Quarrying  (includes mining, quarrying, or oil and gas extraction)",90000,NA
"114","Warehouse operator","Pick pack","Books","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",NA,NA
"115","Design Engineer","Design Engineering","Engineering","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra",2999,NA
"116","senior research manager","manage research","manage research","Professional, Scientific, and Technical Activities  (includes services such as legal, accounting, consulting, architectu",48000,NA
"117","Caseworker","Work on cases","Public safety","Public Administration and Defence; Compulsory Social Security  (Government organisation, or civil service, does not incl",2900,NA
"118","pharmacy","i sell drugs","pharmacy","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",1600,NA
"119","party planner","plan parties","parties","I’m not sure",25000,NA
"120","Catering assistant","Customer service","Food","Accommodation and Food Service Activities  (such as hotels, restaurants, and catering services)",21000,NA
"121","Developer manager","Manage development","Provide healthcare solutions","Information and Communication  (covers the production and/or distribution of information and cultural products, for exam",2800,NA
"122","warehouse manger","storage and handleing","store products be sending out to shops","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",NA,NA
"123","Domestic","Clean","Nhs","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",NA,NA
