UnitOccupation_labelled,n,UnitOcc_short,UnitOcc_short_detail,perc,cum_perc,rank
Natural and Social Science Professionals,2,Natural and Social Science Professionals,NA,0.11883541295306002,98.93048128342247,87
Textiles and Garments Trades,2,Textiles and Garments Trades,NA,0.11883541295306002,98.8116458704694,88
Construction Operatives,1,Construction Operatives,NA,0.05941770647653001,99.94058229352348,89
"Directors in Logistics, Warehousing and Transport",1,Directors in Logistics,Warehousing and Transport,0.05941770647653001,99.88116458704694,90
Elementary Sales Occupations,1,Elementary Sales Occupations,NA,0.05941770647653001,99.82174688057042,91
Legal Associate Professionals,1,Legal Associate Professionals,NA,0.05941770647653001,99.76232917409388,92
Librarians and Related Professionals,1,Librarians and Related Professionals,NA,0.05941770647653001,99.70291146761735,93
Printing Trades,1,Printing Trades,NA,0.05941770647653001,99.64349376114082,94
Veterinary nurses,1,Veterinary nurses,NA,0.05941770647653001,99.5840760546643,95
Web and Multimedia Design Professionals,1,Web and Multimedia Design Professionals,NA,0.05941770647653001,99.52465834818776,96
